
num_trips,average_duration,start_station_id,start_station_name,start_dockcount,end_station_id,end_station_name,end_dockcount,subscribers,customers
9150,1188.0038251366116,50,Harry Bridges Plaza (Ferry Building),23,60,Embarcadero at Sansome,15,5483,3667
8508,306.66596144804805,69,San Francisco Caltrain 2 (330 Townsend),23,65,Townsend at 7th,15,8305,203
7620,581.7548556430479,61,2nd at Townsend,27,50,Harry Bridges Plaza (Ferry Building),23,6931,689
6888,637.5232288037159,50,Harry Bridges Plaza (Ferry Building),23,61,2nd at Townsend,27,6332,556
6874,511.0090194937462,60,Embarcadero at Sansome,15,74,Steuart at Market,23,6200,674
6836,279.12112346401335,65,Townsend at 7th,15,69,San Francisco Caltrain 2 (330 Townsend),23,6641,195
6351,697.7335852621641,51,Embarcadero at Folsom,19,70,San Francisco Caltrain (Townsend at 4th),19,6158,193
6215,797.0024135156875,70,San Francisco Caltrain (Townsend at 4th),19,50,Harry Bridges Plaza (Ferry Building),23,5709,506
6039,575.1725451233635,74,Steuart at Market,23,61,2nd at Townsend,27,5758,281
5959,730.4004027521386,74,Steuart at Market,23,70,San Francisco Caltrain (Townsend at 4th),19,5695,264
5796,664.9830917874407,55,Temporary Transbay Terminal (Howard at Beale),23,70,San Francisco Caltrain (Townsend at 4th),19,5699,97
5395,858.3139944392946,50,Harry Bridges Plaza (Ferry Building),23,70,San Francisco Caltrain (Townsend at 4th),19,4980,415
5358,295.8902575587912,65,Townsend at 7th,15,70,San Francisco Caltrain (Townsend at 4th),19,5174,184
5337,476.63575042158647,64,2nd at South Park,15,77,Market at Sansome,27,5205,132
5196,721.5552347959969,70,San Francisco Caltrain (Townsend at 4th),19,55,Temporary Transbay Terminal (Howard at Beale),23,5089,107
5118,609.5113325517772,67,Market at 10th,27,69,San Francisco Caltrain 2 (330 Townsend),23,5008,110
5110,792.8272015655583,74,Steuart at Market,23,60,Embarcadero at Sansome,15,4263,847
5063,402.48923563104785,77,Market at Sansome,27,64,2nd at South Park,15,4919,144
4737,877.9826894659061,60,Embarcadero at Sansome,15,50,Harry Bridges Plaza (Ferry Building),23,3099,1638
4492,578.5135796972389,69,San Francisco Caltrain 2 (330 Townsend),23,39,Powell Street BART,19,4352,140
4440,640.2781531531532,70,San Francisco Caltrain (Townsend at 4th),19,51,Embarcadero at Folsom,19,4367,73
4433,407.8980374464245,69,San Francisco Caltrain 2 (330 Townsend),23,57,5th at Howard,15,4298,135
4417,495.82499434004984,39,Powell Street BART,19,69,San Francisco Caltrain 2 (330 Townsend),23,4281,136
4367,769.667735287383,70,San Francisco Caltrain (Townsend at 4th),19,74,Steuart at Market,23,4182,185
4304,522.3875464684003,63,Howard at 2nd,19,70,San Francisco Caltrain (Townsend at 4th),19,4172,132
4273,577.0227006786818,61,2nd at Townsend,27,74,Steuart at Market,23,4079,194
3852,410.8242471443403,28,Mountain View Caltrain Station,23,27,Mountain View City Hall,15,3765,87
3818,590.1917234153995,76,Market at 4th,19,70,San Francisco Caltrain (Townsend at 4th),19,3591,227
3801,810.4583004472488,70,San Francisco Caltrain (Townsend at 4th),19,77,Market at Sansome,27,3671,130
3771,518.9371519490842,65,Townsend at 7th,15,72,Civic Center BART (7th at Market),23,3622,149
3755,845.6303595206392,69,San Francisco Caltrain 2 (330 Townsend),23,67,Market at 10th,27,3622,133
